Survey_number,Sex,School_code_2,Science_teacher_8,Library_me_8,OMSI_me_8,Zoo_me_8,Child_museum_me_8,Scouts_me_8,Program_me_8,National_parks_me_8,Team_sport_me_8,Own_sport_me_8,Summer_camp_me_8,Hike_outdoors_me_8,Garden_me_8,Experiments_me_8,Read_me_8,Internet_me_8,Computer_me_8,Communicate_me_8,TV_me_8,Build_me_8,Pets_me_8,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_8,Mix_materials_8,Weather_8,Human_body_8,Traits_passed_8,Sudoku_math_8,Fish_hunt_8,Earthquakes_volcanoes_8,Measure_size_8,Diseases_8,Play_Minecraft_8,Exploring_space_8,Buildings_bridges_8,Eat_exercise_8,Gas_diesel_8,Rocks_minerals_8,Comuters_cell_phones_8,Grow_food_8,Use_maps_8,Design_games_8,Community_green_8,Make_shapes_8,Solve_puzzles_8,Earth_space_8,Human_bio_8,Tech_eng_8,Math_8
1.7e+07,1,Parkrose MS,2,3,1,1,1,1,2,1,4,4,1,5,1,1,4,3,5,5,5,5,1,1112,1111,1111,1111,1111,1111,1111,1112,1111,1111,1112,1111,1111,1112,1112,1112,1111,1112,1112,1111,5,5,4,5,4,1,NA,5,2,5,5,5,4,5,5,NA,5,2,5,5,2,2,2,0.9375,0.916666666666667,0.95,0.1875
1.9e+07,0,NA,2,2,1,1,1,1,2,2,1,4,2,2,2,1,2,3,5,4,2,2,1,1112,1111,1111,1111,1111,1111,1111,2111,1111,1111,2121,2111,1111,1112,1112,1112,1111,1112,2111,1111,4,4,4,5,4,2,NA,4,3,5,2,4,3,5,3,NA,4,4,2,4,5,3,3,0.75,0.916666666666667,0.55,0.4375
2e+07,0,Parkrose MS,2,2,1,2,1,1,2,2,1,1,1,3,2,1,2,3,5,5,2,2,5,2111,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,1112,1112,1112,1112,1121,1111,1112,1112,1112,2,4,3,4,1,3,NA,4,1,5,5,2,3,4,4,NA,4,4,4,4,4,2,1,0.4375,0.5,0.7,0.1875
2.2e+07,0,Parkrose MS,1,2,1,1,1,1,1,1,2,5,1,3,1,1,1,3,5,4,2,3,1,1111,1111,1111,1111,1111,1111,1111,1211,1111,1111,1112,1111,1111,2111,1111,1112,1111,1111,1111,1111,4,4,3,3,3,2,NA,2,1,3,2,4,2,5,3,NA,2,2,1,1,4,1,3,0.5625,0.666666666666668,0.2,0.1875
2.4e+07,1,Parkrose MS,3,2,1,1,1,1,2,1,2,3,1,3,1,1,3,5,5,5,5,3,1,2111,1111,1111,1111,1111,1111,1111,1112,1111,1111,1111,1111,1111,1112,1112,1112,1111,1221,1112,1112,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,1,1,1,1
2.6e+07,0,NA,1,2,2,2,1,1,2,2,3,5,1,1,2,1,4,3,4,5,2,1,1,2111,1111,1111,1111,1111,1111,1111,1121,1111,1111,1111,1111,1111,1112,1121,1112,1111,1111,1111,1111,5,5,4,4,2,1,NA,3,2,4,5,5,2,4,3,NA,2,2,3,5,5,2,4,0.8125,0.583333333333332,0.5,0.3125
2.7e+07,1,Parkrose MS,1,3,1,1,1,2,2,2,1,4,1,2,3,2,3,5,4,5,3,2,2,1112,1111,1111,1111,1111,1111,1111,1121,1111,1111,2111,2111,1211,1112,1112,1211,1111,2111,2111,1211,5,4,4,4,3,2,NA,4,4,5,3,5,4,4,4,NA,4,4,3,3,4,3,4,0.875,0.666666666666668,0.65,0.5625
3e+07,0,Parkrose MS,3,3,1,2,1,1,3,2,3,5,1,5,2,2,3,4,4,4,4,5,5,2111,1111,1111,1111,1111,1111,1111,2111,1111,1111,2111,1112,1111,1112,1121,1112,1111,1112,1112,2111,5,3,3,3,3,3,NA,4,3,3,4,5,5,3,3,NA,4,3,3,5,3,4,4,0.8125,0.5,0.75,0.625
3.5e+07,1,Parkrose MS,2,4,1,1,1,1,2,1,4,4,2,4,5,2,4,5,4,5,5,3,1,1211,1111,1111,1111,1111,1111,1111,2221,1111,1111,1111,2221,1211,2221,1211,1111,1111,2211,1211,1111,5,4,3,3,3,3,NA,4,3,3,2,5,2,5,2,NA,4,3,3,2,5,3,3,0.8125,0.666666666666668,0.4,0.5
3.9e+07,1,Parkrose MS,3,1,1,1,1,1,1,1,1,4,1,4,1,1,4,2,4,5,4,1,5,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,2111,1111,1111,1112,1111,1121,1111,2111,1111,2111,3,4,2,3,3,1,NA,3,2,4,4,4,3,5,4,NA,4,4,3,3,3,3,5,0.5,0.666666666666668,0.6,0.4375
